filename,fold,target,category,esc10,src_file,take
1-100032-A-0.wav,1,0,dog,True,100032,A
1-100038-A-14.wav,1,14,chirping_birds,False,100038,A
1-101296-A-19.wav,1,19,thunderstorm,False,101296,A
1-101296-B-19.wav,1,19,thunderstorm,False,101296,B
1-103298-A-9.wav,1,9,crow,False,103298,A
1-104089-A-22.wav,1,22,clapping,False,104089,A
1-104089-B-22.wav,1,22,clapping,False,104089,B
1-105224-A-22.wav,1,22,clapping,False,105224,A
1-110389-A-0.wav,1,0,dog,True,110389,A
1-110537-A-22.wav,1,22,clapping,False,110537,A
1-115521-A-19.wav,1,19,thunderstorm,False,115521,A
1-115920-A-22.wav,1,22,clapping,False,115920,A
1-115920-B-22.wav,1,22,clapping,False,115920,B
1-115921-A-22.wav,1,22,clapping,False,115921,A
1-116765-A-41.wav,1,41,chainsaw,True,116765,A
1-11687-A-47.wav,1,47,airplane,False,11687,A
1-118559-A-17.wav,1,17,pouring_water,False,118559,A
1-12653-A-15.wav,1,15,water_drops,False,12653,A
1-12654-A-15.wav,1,15,water_drops,False,12654,A
1-12654-B-15.wav,1,15,water_drops,False,12654,B
1-13571-A-46.wav,1,46,church_bells,False,13571,A
1-13572-A-46.wav,1,46,church_bells,False,13572,A
1-137296-A-16.wav,1,16,wind,False,137296,A
1-155858-A-25.wav,1,25,footsteps,False,155858,A
1-155858-B-25.wav,1,25,footsteps,False,155858,B
1-155858-C-25.wav,1,25,footsteps,False,155858,C
1-155858-D-25.wav,1,25,footsteps,False,155858,D
1-155858-E-25.wav,1,25,footsteps,False,155858,E
1-155858-F-25.wav,1,25,footsteps,False,155858,F
1-16746-A-15.wav,1,15,water_drops,False,16746,A
1-172649-A-40.wav,1,40,helicopter,True,172649,A
1-172649-B-40.wav,1,40,helicopter,True,172649,B
1-172649-C-40.wav,1,40,helicopter,True,172649,C
1-172649-D-40.wav,1,40,helicopter,True,172649,D
1-172649-E-40.wav,1,40,helicopter,True,172649,E
1-172649-F-40.wav,1,40,helicopter,True,172649,F
1-17367-A-10.wav,1,10,rain,True,17367,A
1-1791-A-26.wav,1,26,laughing,False,1791,A
1-181071-A-40.wav,1,40,helicopter,True,181071,A
1-181071-B-40.wav,1,40,helicopter,True,181071,B
1-18810-A-49.wav,1,49,hand_saw,False,18810,A
1-19898-A-41.wav,1,41,chainsaw,True,19898,A
1-19898-B-41.wav,1,41,chainsaw,True,19898,B
1-19898-C-41.wav,1,41,chainsaw,True,19898,C
1-21189-A-10.wav,1,10,rain,True,21189,A
1-21421-A-46.wav,1,46,church_bells,False,21421,A
1-223162-A-25.wav,1,25,footsteps,False,223162,A
1-22804-A-46.wav,1,46,church_bells,False,22804,A
1-23094-A-15.wav,1,15,water_drops,False,23094,A
1-23094-B-15.wav,1,15,water_drops,False,23094,B
1-23222-A-19.wav,1,19,thunderstorm,False,23222,A
1-23222-B-19.wav,1,19,thunderstorm,False,23222,B
1-23706-A-49.wav,1,49,hand_saw,False,23706,A
1-24524-A-19.wav,1,19,thunderstorm,False,24524,A
1-24524-B-19.wav,1,19,thunderstorm,False,24524,B
1-24524-C-19.wav,1,19,thunderstorm,False,24524,C
1-24796-A-47.wav,1,47,airplane,False,24796,A
1-26222-A-10.wav,1,10,rain,True,26222,A
1-29532-A-16.wav,1,16,wind,False,29532,A
1-29561-A-10.wav,1,10,rain,True,29561,A
1-30039-A-26.wav,1,26,laughing,False,30039,A
1-30043-A-26.wav,1,26,laughing,False,30043,A
1-30226-A-0.wav,1,0,dog,True,30226,A
1-30344-A-0.wav,1,0,dog,True,30344,A
1-32318-A-0.wav,1,0,dog,True,32318,A
1-33658-A-26.wav,1,26,laughing,False,33658,A
1-34094-A-5.wav,1,5,cat,False,34094,A
1-34094-B-5.wav,1,5,cat,False,34094,B
1-34495-A-14.wav,1,14,chirping_birds,False,34495,A
1-34497-A-14.wav,1,14,chirping_birds,False,34497,A
1-36164-A-26.wav,1,26,laughing,False,36164,A
1-36164-B-26.wav,1,26,laughing,False,36164,B
1-36929-A-47.wav,1,47,airplane,False,36929,A
1-38559-A-14.wav,1,14,chirping_birds,False,38559,A
1-38560-A-14.wav,1,14,chirping_birds,False,38560,A
1-39835-A-9.wav,1,9,crow,False,39835,A
